n_estimators,test score
15,0.5496
16,0.5728
17,0.5496
18,0.5576
19,0.5808
20,0.5592
21,0.5688
22,0.5832
23,0.5704
24,0.5856
25,0.5912
26,0.5752
27,0.5888
28,0.5736
29,0.5648
30,0.5696
31,0.5936
32,0.5768
33,0.5576
34,0.5984
35,0.572
36,0.5976
37,0.5856
38,0.5712
39,0.5928
40,0.5816
41,0.5752
42,0.5896
43,0.5888
44,0.576
45,0.5736
46,0.576
47,0.5744
48,0.5712
49,0.5696
50,0.592
51,0.584
52,0.5832
53,0.5736
54,0.5888
55,0.5872
56,0.5784
57,0.5912
58,0.572
59,0.5736
60,0.58
61,0.588
62,0.5712
63,0.5808
64,0.5864
65,0.5712
66,0.5768
67,0.5792
68,0.5832
69,0.5992
70,0.5832
71,0.58
72,0.5832
73,0.5824
74,0.584
75,0.5824
76,0.5704
77,0.5608
78,0.5704
79,0.5824
80,0.5824
81,0.5776
82,0.5664
83,0.596
84,0.5872
85,0.5912
86,0.5648
87,0.588
88,0.5776
89,0.5896
90,0.5928
91,0.5872
92,0.5944
93,0.5784
94,0.5752
95,0.5824
96,0.568
97,0.596
98,0.5696
99,0.58
100,0.5976
101,0.5904
102,0.5792
103,0.5824
104,0.5792
105,0.58
106,0.5696
107,0.584
108,0.5856
109,0.5808
110,0.5896
111,0.5736
112,0.5808
113,0.5712
114,0.5888
115,0.5704
116,0.6008
117,0.5736
118,0.5752
119,0.5712
120,0.5856
121,0.5776
122,0.58
123,0.5792
124,0.5896
125,0.5904
126,0.576
127,0.584
128,0.5808
129,0.5752
130,0.5816
131,0.5848
132,0.5904
133,0.5896
134,0.6
135,0.576
136,0.5792
137,0.5816
138,0.5752
139,0.5848
140,0.572
141,0.58
142,0.5824
143,0.5952
144,0.5904
145,0.576
146,0.576
147,0.5904
148,0.5872
149,0.5824
150,0.5832
151,0.5848
152,0.6024
153,0.5768
154,0.5888
155,0.5848
156,0.592
157,0.6
158,0.5776
159,0.5832
160,0.5776
161,0.5824
162,0.5928
163,0.5832
164,0.5896
165,0.5864
166,0.5792
167,0.5896
168,0.58
169,0.5816
170,0.584
171,0.5928
172,0.6
173,0.5896
174,0.5792
175,0.5824
